"test#","matrix size","value type","test_time"
"test# 0","10","<class 'numpy.float64'>","[0.001667833000000063, 0.0016166659999999888, 0.0016392920000000144, 0.0016167080000000222, 0.0016394579999999825]"
"test# 0","10","<class 'numpy.float64'>","[0.0016494590000000198, 0.0016105419999999926, 0.0016124999999999057, 0.0015913749999999505, 0.0015929580000000332]"
"test# 0","100","<class 'numpy.float64'>","[1.216447834, 1.224352125, 1.2102319159999997, 1.2080160830000004, 1.221045459]"
"test# 0","200","<class 'numpy.float64'>","[9.672815916, 9.751845291999999, 9.696691082999997, 9.642119499999996, 9.646382707999997]"
"test# 0","300","<class 'numpy.float64'>","[32.066656290999994, 31.999956459000003, 31.99428725, 31.96762195800001, 32.32770508300001]"
"test# 0","400","<class 'numpy.float64'>","[77.578202958, 77.62236758300001, 77.36691662499999, 78.093085291, 77.871273083]"
"test# 0","10","<class 'int'>","[0.0013996249999999877, 0.0013792499999999985, 0.0013546670000000038, 0.0013487500000000097, 0.0013588749999999816]"
"test# 0","10","<class 'int'>","[0.00135341600000001, 0.0013293339999999876, 0.001330834000000003, 0.0013436670000000067, 0.0013206250000000058]"
"test# 0","100","<class 'int'>","[0.947564541, 0.9616848749999998, 0.9628824579999997, 0.9634318340000001, 0.9627662080000001]"
"test# 0","200","<class 'int'>","[7.603599334, 7.611762417, 7.610086124999999, 7.615352041999998, 7.612229499999998]"
"test# 0","300","<class 'int'>","[26.548869791, 26.541143540999997, 26.525215708000005, 26.516775874999993, 26.559580041999993]"
"test# 0","400","<class 'int'>","[63.961677707999996, 64.616994209, 63.958913249999995, 64.64570758299999, 64.982933667]"
